composicion,caracter,estrofa,duracion,promediof0,maxf0,minf0,semitonos
001,a,1,15.052610761525987,273.07247976702524,384.8877108909099,187.29196992559716,12.469782744924128
001,a,2,16.019202596430627,265.38851284344514,404.4851950010984,132.7280483770028,19.291363459627977
001,a,3,14.757053983101635,259.24056751279284,405.19464836496337,88.99745795550982,26.241349030283768
001,a,4,16.157754246746137,273.6523568452741,399.70795637563026,175.8516845098085,14.215045628969643
001,a,5,17.300018697118745,306.99444657292617,443.5281023127118,117.67094564435926,22.971208464049983
002,b,1,16.09945992006739,235.81981992663498,347.82766923689,181.441015596507,11.266464971650041
002,b,2,16.35344449668039,262.9169778667491,420.47013226008244,193.01761224917024,13.479249943451912
002,b,3,16.530648096809223,252.73041050889478,370.78162283575443,183.55350248041736,12.172429169710544
002,b,4,17.14181948130333,264.8369688930268,360.45568844726404,208.6444905675323,9.46530109667597
002,b,5,16.493361148798556,285.1219164653679,417.74607655998665,194.13552217029905,13.266745892125176
003,z,1,13.695830130969513,307.26537322023825,416.69787786436405,219.3957113520784,11.105597134975179
003,z,2,13.888027454684531,301.9422118571851,404.48597914747313,190.4520796996286,13.039939834735094
003,z,3,13.686262049863416,307.67750451678074,399.00611286206964,211.34625092439856,11.001627941120624
003,z,4,15.072994402913267,305.09698192753393,390.14906252099513,220.4124306932478,9.885838114858748
003,z,5,13.0741955058772,299.6128857559229,400.6640975545609,221.1348427740299,10.289602564601143
