composicion,caracter,estrofa,verso,dist_porc,st_pendiente,pendiente
001,a,1,8,38.78253198964942,8.099380664792406,14.48951479130821
001,a,2,8,61.9532802104883,10.96917976472909,12.959175215715156
001,a,3,8,66.65648922892761,5.837803732924587,6.494618916320919
001,a,4,8,33.27106947632651,10.084989249816093,20.532919793759497
001,a,5,8,49.687203496786424,9.743663212479508,13.984661567177426
002,b,1,8,25.492357414332705,4.993475441013378,18.588613017205525
002,b,2,8,64.96106088078527,9.585511392532805,9.362127541545185
002,b,3,8,51.567349235129626,7.590485713573077,10.861209479246064
002,b,4,8,39.59850053050074,8.288737092223506,14.02162570641238
002,b,5,8,28.48456959048877,7.200536102389517,19.63376011508905
003,z,1,8,36.0363431779336,6.924700684441286,16.55407180036253
003,z,2,8,61.11393094001236,8.298296330474367,11.967342838088165
003,z,3,8,56.41188323462238,7.628633273534507,10.486063446591974
003,z,4,8,42.73319900076154,8.468319476046586,15.78003293719982
003,z,5,8,55.69945176410776,8.219479686149029,12.439243399535785
