composicion,caracter,estrofa,duracion,promediof0,maxf0,minf0,semitonos
002,n,1,16.09945992006739,235.819819926635,347.82766923689,181.441015596507,11.266464971650041
002,n,2,16.35344449668039,262.9169778667491,420.47013226008244,193.01761224917024,13.479249943451912
002,n,3,16.530648096809223,252.73041050889483,370.78162283575443,183.55350248041736,12.172429169710544
002,n,4,17.14181948130333,264.836968893027,360.45568844726404,208.6444905675323,9.46530109667597
002,n,5,16.493361148798556,285.1219164653679,417.74607655998665,194.13552217029905,13.266745892125176
006,p,1,15.863040337005376,277.765413307049,440.5884347380366,178.48084192072633,15.643948815321007
006,p,2,15.80798105312195,302.56078727147855,480.7226399506261,185.72097110200835,16.464816241433425
006,p,3a,14.573931146757161,285.77728367633335,454.97839637457963,105.13536743404846,25.362599660038413
006,p,4,14.339708506229343,278.46773727370413,464.131556709147,133.72721641529822,21.54288810727576
006,p,5,15.328898941732447,296.08192774316444,475.925634461273,162.34688275611123,18.61987775985902
cen,0,1,13.695830130969513,307.26537322023836,416.69787786436405,219.3957113520784,11.105597134975179
cen,0,2,13.888027454684531,301.942211857185,404.48597914747313,190.4520796996286,13.039939834735094
cen,0,3,13.686262049863416,307.67750451678046,399.00611286206964,211.34625092439856,11.001627941120624
cen,0,4,14.314350650705919,305.0969819275336,390.14906252099513,220.4124306932478,9.885838114858748
cen,0,5,13.136675169731106,299.6128857559233,400.6640975545609,221.1348427740299,10.289602564601143
