composicion,caracter,estrofa,verso,acentos,duracion,xf0,st_M_m,st_tonema,pendiente_verso,pendiente_tonema
002,n,1,1,3,1.768546082125475,257.46263330126493,8.323875103738619,-2.4714151690601205,-1.7552280869988226,-8.473534747349085
002,n,1,2,3,1.3253954256915677,214.63485616701647,3.99456697108052,0.16262137444739633,-0.42685593286053297,0.5145961005137645
002,n,1,3,2,1.459910599119283,216.65045094337555,3.561476685535145,0.718736564324628,0.2703745513598696,2.8835760642311636
002,n,1,4,2,1.3718865364845954,234.6377579147232,6.100746354386648,-4.609498898786375,-0.09713901889926335,-20.2682746737792
002,n,1,5,3,1.4418886495211005,283.3628135677016,7.6847392646694015,-1.2277329190878676,-2.606737702584709,-4.592150763092268
002,n,1,6,2,1.3500976779375193,225.13042294142934,4.77418363855954,-2.6925790488151984,-2.3301559597575685,-11.896752897014856
002,n,1,7,3,1.2712345779792855,240.57003947132955,8.645541185531565,-0.6177405539987821,-3.031545385430387,-2.455431695380309
002,n,1,8,2,1.1370909513253906,230.36040060482605,7.684658983785365,1.0522977257556887,6.532096003216771,8.949849509061773
002,n,1,9,2,1.2121074993237713,243.50939419458513,9.132081912773787,-3.929140406134456,-3.432151293361825,-25.982711286575785
002,n,1,10,2,1.3403387367207316,208.0054686026739,3.8198347871315006,-0.6416144808910051,0.37881467796795903,-2.3472708837267455
002,n,2,1,3,1.402979619705846,247.30831145327278,7.858971154773421,0.8025931691811914,-2.4337507267235514,5.502233410626442
002,n,2,2,3,1.4410521619750298,233.6811194345437,5.410844788571616,-3.210712423534324,-1.366064662453091,-10.860302416190782
002,n,2,3,2,1.436413251012013,248.60369729748078,7.024493841564089,-1.8755105810893449,1.6982831011360842,-6.973706677675096
002,n,2,4,2,1.4570749588000496,238.6958687339968,5.336966899492847,0.7326062653560749,1.1734821713244366,4.384667851423813
002,n,2,5,2,1.329621793807263,279.54044059900184,7.715374224003667,-0.4298256699700448,2.2940744174032877,-4.5436224435246695
002,n,2,6,2,1.4661011756965223,264.9861197711475,6.683007508412546,-3.8067274375026363,-2.303716096291886,-13.086236094141857
002,n,2,7,3,1.5833409124468218,248.1954706059962,6.490135458571581,-1.813367150591124,0.13919572676771502,-6.770064745141642
002,n,2,8,3,1.6036568847274069,288.2165282071424,12.026225045309252,3.681465311894894,6.567979806240945,11.43103653137556
002,n,2,9,3,1.4368275746137869,315.88932311549087,11.16279436629364,-9.183212029722128,-5.195761887806142,-25.662680743766504
002,n,2,10,2,1.269572651706035,261.49867699138616,11.063879158081571,-10.899386222701377,-3.653855797190153,-30.30703076308776
002,n,3,1,2,1.4191430999991397,253.95370108113605,7.616141500885217,-2.520593287329404,-3.409867515210047,-8.655848592643363
002,n,3,2,2,1.4593115046068874,247.66863440972537,6.96142132590302,-5.2070379020294135,-0.6689627931811075,-23.660451757051078
002,n,3,3,2,1.2437254711374095,279.06602273900893,10.302744198558608,-1.2393442580061462,1.3268143477625742,-10.394777358095888
002,n,3,4,3,1.435399360927903,251.5990517660433,9.791597225991236,-8.970713394941454,-4.739757308748121,-43.98043649634195
002,n,3,5,3,1.5234986418276293,283.4978253549246,9.963961460289468,-7.345521804474824,-2.744503967706398,-32.90875393545299
002,n,3,6,2,1.4789108378069784,242.85249204331336,7.5332807110433375,-5.037724042328179,-0.424036631739044,-15.643712959450543
002,n,3,7,3,1.4617385682282418,230.92955038535925,4.072616416556089,-0.3803410024543077,-0.7987188750867876,-0.8492777823277298
002,n,3,8,2,1.355241118028161,253.51812665081763,9.762558283290423,2.876037467015605,5.855928833212857,7.765360083975903
002,n,3,9,2,1.442192782973848,250.1385411710207,7.390402258713895,-4.712455224839802,-1.5015106243050518,-16.94196961527129
002,n,3,10,2,1.3336279572134373,232.4647484947386,8.86335974708803,-6.3033525128796395,-2.4878169029706316,-17.921173540163434
002,n,4,1,3,1.4658160204468516,247.63785360398043,5.051164392043088,-0.8320652841761449,-1.2216058119688946,-4.09953100107414
002,n,4,2,3,1.4613891191214492,256.16508795047287,4.065536061445597,-1.4089712841365696,0.419784926666321,-12.527165595512207
002,n,4,3,3,1.4347437717055698,266.46175413624456,5.968029064799948,-2.660163534467822,0.34484161641152505,-15.506560210189408
002,n,4,4,2,1.4389065026471286,281.79698572694656,6.760855888627756,4.613589254755042,3.2101155840938698,3.8245516678087292
002,n,4,5,2,1.4444810199265987,301.71666869293085,8.016554499748992,-5.991000663275169,-5.003959868445989,-22.96180819666831
002,n,4,6,3,1.507609570872546,265.40001014266875,6.020366210474359,4.331949566166886,3.0183002222642945,4.039461686733499
002,n,4,7,3,1.5195637672338904,253.60445090027855,3.680405987076175,-0.414919633977605,-1.862427491164285,-1.096207839117096
002,n,4,8,3,1.5494171112086832,250.10302393785213,9.116131534216738,4.164557883993484,4.6203730953275635,14.433238380987907
002,n,4,9,2,1.5104558308515976,266.793835941649,7.575833381650272,-1.4569553841238092,-0.9393556424183507,-5.753877139464742
002,n,4,10,2,1.6557457745046662,261.7237768420443,6.033922711052117,-3.5562345179046972,-0.26768132701458713,-8.957781715427222
002,n,5,1,3,1.4031067204576715,291.14381854738025,8.894790112316871,-1.6659225513687566,-1.5416335054995551,-7.9679777772347125
002,n,5,2,2,1.4539743819036204,248.86399438813547,7.769727897179913,-5.989797079028904,-1.794102873733961,-19.62798988282149
002,n,5,3,2,1.4688456386138853,318.6574894377846,5.821208570169995,-3.552216125231637,-0.9107228455183154,-12.091235310782798
002,n,5,4,3,1.4417910247364887,276.9917345330289,7.262890856221874,4.0913799806003635,3.464441209079195,3.514092237225213
002,n,5,5,2,1.52315488393225,295.3495877906258,7.628017710946439,-4.090457518335328,-0.7303516220738472,-25.27611420813902
002,n,5,6,2,1.2853358760493307,272.54640426984406,7.899987979327232,-7.878495451228018,-3.4670412965183908,-53.395030794063864
002,n,5,7,3,1.2585767384281752,299.7932051443886,6.744272022312876,-2.1812370985282215,0.11407960674914873,-20.656628359601733
002,n,5,8,2,1.4052756888487892,302.75621019226196,9.657793308022656,2.206620910344678,1.8416206101523611,1.8836877670896575
002,n,5,9,2,1.5104772035848981,290.9019118108215,10.469470308964722,-4.075815536552778,-2.9056480159925213,-23.08683408978559
002,n,5,10,2,1.3646899103671046,252.41453341664737,7.091162550268417,-4.00818075422485,-1.4984882985514207,-22.17573354783748
006,p,1,1,2,1.524313384241305,302.63118800455356,11.29210178090064,-5.630087653838787,-0.756376156299145,-25.648130907006966
006,p,1,2,3,1.5738278864326471,259.91768577147127,8.321980169968299,-7.50382144975865,-2.3618362257067163,-24.80500650571015
006,p,1,3,2,1.4244865541434182,317.3838519645067,10.840456649928038,-7.690022897003551,-2.7411182099259537,-38.26893996524722
006,p,1,4,3,1.391283472811904,245.42679120805786,9.701399359519655,-8.45073835309941,-1.725891658205349,-33.64367602315334
006,p,1,5,2,1.3298628225188684,285.3031965120061,9.724512101300558,-9.074845896704927,-0.32384469216620865,-33.91640379759131
006,p,1,6,3,1.3730224119825731,248.6644208949438,7.283254397422939,-6.564975432230312,-1.1833124968018292,-22.893373319690276
006,p,1,7,2,1.340616288101124,251.69472568448114,5.569751682660483,-3.6006765639216667,-0.9606424897383709,-16.03063338836305
006,p,1,8,2,1.3744227519142758,292.6029253820565,15.413377440466379,1.8162697556856815,9.498278557696377,7.39621163863323
006,p,1,9,1,1.1272649598147506,320.24359935190955,11.528119656465416,-6.559596853058761,-9.453886165946278,-48.051146958773444
006,p,1,10,4,1.2636042357212904,248.0843008319846,10.437900733858575,-1.1907735322908752,1.5956285206940666,-7.598804413470202
006,p,2,1,3,1.421740416814533,355.4302411016385,8.618987765392689,-5.588076600866241,-2.9478476032915983,-25.318349173144572
006,p,2,2,2,1.3643738054344823,274.2936621804571,9.946292591390531,-9.764980633125667,-4.632617334962345,-28.125208199599744
006,p,2,3,2,1.3315792448514223,336.35408890739416,6.978443300279052,-4.567095977785089,-0.42401539878140176,-22.52168210184226
006,p,2,4,2,1.319070386548102,270.68228244813685,10.910142779031375,-9.537753665077226,-4.170084570856251,-25.692089172309444
006,p,2,5,4,1.5078998738588858,340.9884780833721,10.31548964165583,-6.0980623559952685,-3.740378189106189,-25.553566205015844
